Taxon	k__Archaea;p__Euryarchaeota;c__Methanobacteria	k__Archaea;p__Euryarchaeota;c__Thermoplasmata	k__Bacteria;p__Actinobacteria;c__Actinobacteria	k__Bacteria;p__Actinobacteria;c__Coriobacteriia	k__Bacteria;p__Bacteroidetes;c__Bacteroidia	k__Bacteria;p__Bacteroidetes;c__Cytophagia	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia	k__Bacteria;p__Cyanobacteria;c__4C0d-2	k__Bacteria;p__Cyanobacteria;c__Chloroplast	k__Bacteria;p__Firmicutes;c__Bacilli	k__Bacteria;p__Firmicutes;c__Clostridia	k__Bacteria;p__Firmicutes;c__Erysipelotrichi	k__Bacteria;p__Fusobacteria;c__Fusobacteriia	k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	k__Bacteria;p__Planctomycetes;c__Phycisphaerae	k__Bacteria;p__Planctomycetes;c__Planctomycetia	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	k__Bacteria;p__Synergistetes;c__Synergistia	k__Bacteria;p__TM7;c__TM7-3	k__Bacteria;p__Tenericutes;c__Mollicutes	k__Bacteria;p__Tenericutes;c__RF3	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae	k__Bacteria;p__[Thermi];c__Deinococci
118A	0.0	0.0	4.0	5.0	27417.0	0.0	0.0	0.0	0.0	0.0	7.0	28869.0	276.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	235.0	0.0	1.0	0.0	0.0	0.0	0.0
24A	0.0	0.0	84.0	11.0	14770.0	0.0	0.0	0.0	1071.0	6.0	98.0	32008.0	72.0	4.0	0.0	0.0	0.0	13.0	204.0	102.0	1.0	112.0	2.0	0.0	306.0	0.0	3779.0	0.0
119A	0.0	0.0	391.0	59.0	14788.0	0.0	0.0	0.0	0.0	0.0	15.0	21815.0	210.0	6.0	0.0	0.0	0.0	0.0	107.0	158.0	0.0	17704.0	1.0	0.0	0.0	0.0	0.0	0.0
34A	0.0	0.0	7392.0	5.0	27915.0	0.0	0.0	0.0	0.0	5.0	95.0	69117.0	214.0	0.0	0.0	0.0	0.0	0.0	247.0	0.0	0.0	484.0	0.0	0.0	6.0	0.0	0.0	0.0
091A	0.0	0.0	28.0	4.0	25658.0	0.0	0.0	0.0	0.0	5.0	29.0	30023.0	264.0	82.0	0.0	0.0	0.0	0.0	461.0	0.0	0.0	61.0	0.0	0.0	5.0	0.0	70.0	0.0
098A	0.0	0.0	107.0	5.0	39645.0	0.0	0.0	0.0	0.0	0.0	16.0	54483.0	96.0	0.0	16.0	0.0	0.0	0.0	2429.0	211.0	1.0	597.0	0.0	0.0	412.0	0.0	907.0	0.0
100A	0.0	0.0	92.0	13.0	23634.0	0.0	0.0	0.0	5.0	0.0	20.0	17407.0	85.0	799.0	0.0	0.0	0.0	0.0	4436.0	50.0	0.0	88.0	1.0	0.0	1.0	0.0	11.0	0.0
084A	0.0	0.0	18.0	6.0	17721.0	0.0	0.0	0.0	0.0	0.0	17.0	32337.0	163.0	24.0	0.0	0.0	0.0	0.0	444.0	2.0	0.0	5352.0	7.0	0.0	0.0	0.0	6.0	0.0
107A	0.0	0.0	3.0	8.0	15739.0	0.0	0.0	0.0	0.0	1.0	6.0	12788.0	413.0	0.0	0.0	0.0	0.0	1.0	110.0	203.0	1.0	20957.0	0.0	0.0	0.0	0.0	0.0	0.0
35A	1.0	0.0	4.0	6.0	27260.0	0.0	0.0	0.0	0.0	0.0	13.0	11347.0	122.0	56.0	3.0	0.0	0.0	0.0	126.0	47.0	0.0	4649.0	0.0	0.0	1.0	0.0	0.0	0.0
11A	0.0	0.0	34.0	36.0	29300.0	0.0	0.0	0.0	0.0	0.0	1296.0	18271.0	331.0	3.0	0.0	0.0	0.0	0.0	1203.0	118.0	0.0	398.0	0.0	0.0	0.0	0.0	0.0	0.0
10A	0.0	0.0	1132.0	28.0	15442.0	0.0	0.0	0.0	0.0	1.0	2199.0	33110.0	165.0	15.0	0.0	0.0	0.0	0.0	213.0	6.0	0.0	231.0	0.0	0.0	14.0	0.0	63.0	0.0
109A	0.0	0.0	198.0	10.0	22873.0	0.0	0.0	0.0	1.0	1.0	821.0	18697.0	63.0	873.0	0.0	0.0	0.0	0.0	93.0	78.0	6.0	2207.0	0.0	0.0	0.0	0.0	7.0	0.0
31A	9.0	0.0	3.0	12.0	23286.0	0.0	0.0	0.0	0.0	0.0	11.0	13804.0	32.0	0.0	0.0	0.0	0.0	0.0	215.0	119.0	0.0	109.0	6.0	0.0	41.0	0.0	1.0	0.0
29A	0.0	2.0	5.0	14.0	26464.0	0.0	0.0	0.0	15.0	4.0	201.0	8846.0	198.0	5.0	91.0	0.0	0.0	1.0	323.0	118.0	3.0	1179.0	2.0	0.0	19.0	0.0	0.0	0.0
101A	0.0	0.0	577.0	11.0	32068.0	0.0	0.0	0.0	0.0	90.0	29.0	22008.0	377.0	41.0	0.0	0.0	0.0	5.0	2376.0	0.0	0.0	106.0	0.0	0.0	0.0	0.0	0.0	0.0
083A	0.0	0.0	332.0	0.0	25284.0	0.0	0.0	0.0	0.0	1.0	53.0	16560.0	110.0	12.0	0.0	0.0	0.0	0.0	2105.0	59.0	0.0	257.0	1.0	0.0	0.0	0.0	0.0	0.0
13A	0.0	0.0	98.0	9.0	24624.0	0.0	0.0	0.0	0.0	0.0	140.0	22143.0	479.0	807.0	0.0	0.0	0.0	3.0	591.0	0.0	1.0	148.0	0.0	1.0	0.0	0.0	0.0	0.0
093A	0.0	0.0	15.0	8.0	20471.0	0.0	0.0	0.0	1.0	1.0	21.0	22365.0	75.0	2279.0	0.0	0.0	0.0	88.0	4802.0	0.0	0.0	607.0	0.0	1.0	0.0	0.0	7.0	0.0
094A	0.0	0.0	408.0	1.0	30280.0	0.0	0.0	0.0	0.0	0.0	28.0	8035.0	139.0	6.0	0.0	0.0	0.0	0.0	2623.0	0.0	0.0	181.0	0.0	0.0	0.0	0.0	0.0	0.0
085A	0.0	0.0	65.0	1.0	49946.0	0.0	0.0	0.0	0.0	0.0	21.0	20681.0	43.0	0.0	0.0	0.0	1.0	0.0	610.0	103.0	0.0	791.0	13.0	0.0	0.0	0.0	1752.0	0.0
