sample	k__Archaea;p__Euryarchaeota	k__Bacteria;p__Actinobacteria	k__Bacteria;p__Bacteroidetes	k__Bacteria;p__Cyanobacteria	k__Bacteria;p__Firmicutes	k__Bacteria;p__Fusobacteria	k__Bacteria;p__Lentisphaerae	k__Bacteria;p__Planctomycetes	k__Bacteria;p__Proteobacteria	k__Bacteria;p__Synergistetes	k__Bacteria;p__TM7	k__Bacteria;p__Tenericutes	k__Bacteria;p__Verrucomicrobia	k__Bacteria;p__[Thermi]
20A	0.0	2.96865954959958	4.520858698782343	0.2927187665046192	4.371121768722558	1.5399929857741805	0.0	0.0	3.331527915738192	0.0	0.0	0.6855946040327519	0.0	0.0
39A	0.0	2.052034990436483	4.375653521612881	0.3452646586939983	4.518192409790427	1.0300144764051335	0.0	0.0	3.4667229228911958	0.7677326947108328	0.0	0.0	1.157120613387373	0.0
118A	0.0	1.020011855305769	4.460214508196033	0.0	4.486862035662588	0.0	0.0	0.0	2.3968366261926386	0.0	0.31226133186180416	0.0	0.0	0.0
24A	0.0	2.0370319080509414	4.224708287766367	3.087872494631695	4.562872835131879	0.7437605816627072	0.0	0.0	2.691669863987782	0.5147602277612157	0.0	2.5422711084061356	3.632779967679996	0.0
119A	0.0	2.6883822640829127	4.204215392586782	0.0	4.3775086115207555	0.8746424397921184	0.0	0.0	4.2888250552820075	0.3185075169362387	0.0	0.0	0.0	0.0
34A	0.0	3.622631596298837	4.199337491643491	0.5836835779137769	4.59500559389889	0.0	0.0	0.0	2.6184366091610616	0.0	0.0	0.6435645314252314	0.0	0.0
091A	0.0	1.5409667354627858	4.432374927427059	0.7975158981193324	4.50482155933339	1.9419426330566794	0.0	0.0	2.741594685916186	0.0	0.0	0.7975158981193324	1.874076978863309	0.0
098A	0.0	1.8369230652427646	4.379543022843415	0.0	4.518502508121925	0.0	1.0281915946443796	0.0	3.2918351715482785	0.0	0.0	2.397974217042418	2.7397352526145595	0.0
100A	0.0	2.1322692289757033	4.481416936562941	0.8697986112264461	4.3512204649074535	3.010835949757142	0.0	0.0	3.768235591753304	0.3583029134572782	0.0	0.3583029134572782	1.1790133119896007	0.0
084A	0.0	1.42456806590069	4.276214117256243	0.0	4.539825900817172	1.42456806590069	0.0	0.0	3.7910513801308023	0.9274251336217375	0.0	0.0	0.868949940130262	0.0
107A	0.0	1.1490339941710768	4.272679673113463	0.3405160611595599	4.196511159455221	0.0	0.0	0.0	4.4035048328575765	0.0	0.0	0.0	0.0	0.0
35A	0.37479863250481493	1.167398406019236	4.572345033340008	0.0	4.196852700286408	1.8906186610755598	0.7084908666467327	0.0	3.820100484382734	0.0	0.0	0.37479863250481493	0.0	0.0
11A	0.0	1.9195144846363963	4.53603778430329	0.0	4.367985562954049	0.6549329452805488	0.0	0.0	3.3046487992322553	0.0	0.0	0.0	0.0	0.0
10A	0.0	3.120287287765225	4.244228243221438	0.3296659312631247	4.605420880974261	1.2563514068518558	0.0	0.0	2.709560950844047	0.0	0.0	1.228103904706617	1.8608650924159005	0.0
109A	0.0	2.4342292040094238	4.473902716276026	0.5567515591487033	4.406416905629993	3.055961202242644	0.0	0.0	3.492011161135745	0.0	0.0	0.0	1.0048815135756008	0.0
31A	1.1845111393069203	1.3948498854456373	4.568007262144708	0.0	4.342276065893249	0.0	0.0	0.0	2.8479211906837647	1.0223912429625537	0.0	1.8203033880179482	0.41299503117833725	0.0
29A	0.6221884483357881	1.495581189152723	4.625392872754303	1.495581189152723	4.168663464231643	0.9530046081614542	2.1647505994025695	0.0	3.413480763982062	0.6221884483357881	0.0	1.495581189152723	0.0	0.0
101A	0.0	2.785646402025035	4.52164199430753	1.9744304821326615	4.366095114634259	1.6384423407905968	0.0	0.0	3.411401287003636	0.0	0.0	0.0	0.0	0.0
083A	0.0	2.6477331781993123	4.528475284683421	0.36836428869214677	4.348950277189336	1.2310869781515756	0.0	0.0	3.509745739451907	0.36836428869214677	0.0	0.0	0.0	0.0
13A	0.0	2.1187569644767064	4.477429720921926	0.0	4.443282720818004	2.9933713846828947	0.0	0.0	2.9575246463568607	0.0	0.3461863889373979	0.0	0.0	0.0
093A	0.0	1.4487468820949454	4.382440575348635	0.525918993126795	4.422729009878571	3.4291895261091505	0.0	0.0	3.811476291862702	0.0	0.33813264076598853	0.0	0.9660771649842117	0.0
094A	0.0	2.7689593114635365	4.6376619399253025	0.0	4.070452758624745	0.982404593921725	0.0	0.0	3.604382083534798	0.0	0.0	0.0	0.0	0.0
085A	0.0	1.7348676695321745	4.605763864246091	0.0	4.224191743527367	0.0	0.0	0.25712738713669864	3.084857581930365	1.060703719771314	0.0	0.0	3.1510932802270277	0.0
