sample	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Cryptophyta	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	k__Bacteria;p__Firmicutes;c__Clostridia;o__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales	k__Bacteria;p__TM7;c__TM7-3;o__	k__Bacteria;p__TM7;c__TM7-3;o__I025	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales	k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	k__Bacteria;p__[Thermi];c__Deinococci;o__Thermales
3A	0.0	0.0	0.9962780010861118	1.6272584112247743	2.293331271959135	4.475719555246446	0.0	0.0	0.0	0.0	0.0	0.21398545792675683	0.0	0.35669943406835436	2.0557865272369704	0.8280702626621348	0.0	4.435842325894616	0.0	3.3015382719295028	0.35669943406835436	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8316137275163538	0.0	0.0	1.095577670508418	0.0	0.0	0.0	0.0	2.040943365444211	0.0	0.4639355423532721	1.19438998641841	0.0	0.21398545792675683	0.0	0.0	0.0	0.0	0.0	1.5862377162751735	0.0	0.0	0.0
6A	0.0	0.0	0.5960168412244811	0.9223005532340054	0.9927380631948478	4.4247609945998345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3633382487948547	1.106493605901747	0.0	4.46764592947675	0.0	2.3431762896841937	0.2395951234899756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.3025678379785592	0.0	0.0	2.5714428829459894	0.0	0.0	0.2395951234899756	0.0	3.070115288912504	0.0	0.5063080657509869	1.3347166994586328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18A	0.0	0.0	0.8377476737946525	1.4067191862688488	1.8780157342994728	4.446699239341159	1.1060223867533503	1.2223711894802494	0.0	0.4714150878470589	0.0	0.4714150878470589	0.9466175037875323	0.29675741460283256	1.9457512526321912	0.8377476737946525	0.0	4.45679553479264	0.0	2.362517153750525	2.3876465636689392	0.0	0.4714150878470589	0.0	0.4714150878470589	0.29675741460283256	0.6921135518530821	0.29675741460283256	0.6921135518530821	0.4714150878470589	0.0	3.2312171978773385	0.0	0.0	2.6895303125196173	0.4714150878470589	0.4714150878470589	1.3342291192552063	0.0	1.6448175924661128	0.4714150878470589	1.4968333138710275	0.6921135518530821	0.771006749822898	1.6728342752976821	0.0	0.29675741460283256	0.0	0.0	0.0	0.0	0.0	2.0883917784317063	0.29675741460283256
082A	0.0	0.0	0.48907798763847377	1.0160650141208465	1.2956479024502097	4.407209631700745	0.0	0.0	0.0	0.0	0.0	0.31002826465178096	0.0	0.0	1.65087624943195	1.247234909224086	0.6154884328505092	4.5030945394736195	0.0	2.774419419150076	0.0	0.0	0.0	0.0	0.0	0.0	0.31002826465178096	0.0	0.31002826465178096	0.0	0.0	3.202493901657518	0.0	0.0	0.0	0.0	0.0	0.31002826465178096	0.0	1.8500660465232834	0.0	0.6154884328505092	0.9701127698591737	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.608430729694866	0.0
37A	2.096693634567731	0.0	1.3119385098288174	1.5202477291668166	1.8369992577813514	4.429345767670143	0.0	0.0	0.0	0.0	0.0	0.33194765958739364	0.5178743026056931	0.8285218659165591	3.7317733655937975	0.33194765958739364	0.0	4.333703613681883	0.0	2.83566057917174	1.4725998253636023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9986566528386855	0.0	0.0	1.701961351811533	0.33194765958739364	2.802403934463769	0.0	0.33194765958739364	3.5803774853913457	0.0	0.7474340695928012	2.555145678669793	0.6476484454449476	0.0	0.0	0.0	0.0	0.0	0.0	1.6264694961660962	0.6476484454449476	0.0	0.0
28A	0.0	0.0	0.3755135539835169	1.3061786054383113	1.1685503728397053	4.621227345899365	0.0	0.0	0.0	0.0	0.0	0.0	0.3755135539835169	0.0	0.8126940207227835	0.3755135539835169	0.0	4.218046482318727	0.0	2.6455319347272788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.8479302577167256	0.0	0.0	1.8918387000116825	0.0	0.0	0.0	0.0	1.3866960352898339	0.0	0.5738411829980167	1.4331200792806478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.182299777368489	0.0	0.0	0.0
108A	0.0	0.0	0.0	1.0933637609173001	1.2725554186856465	4.288078866220365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6048842386992836	0.35535245005260235	0.0	4.221848281611848	0.0	3.7630653819828317	1.6048842386992836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4408483593519454	2.6312455952822456	0.0	0.0	1.9764404783165543	0.0	0.35535245005260235	0.35535245005260235	0.0	4.236546467925105	0.0	0.35535245005260235	0.8652470126378393	0.0	0.0	0.0	1.1740979730072751	0.0	0.0	0.0	0.0	0.0	0.35535245005260235	0.0
20A	0.0	0.0	1.2628687409726185	2.908547794156873	2.016797560702046	4.520795727508198	0.0	0.7642095018416794	0.0	0.0	0.0	0.2927187665046192	0.7642095018416794	0.5895327309954681	2.401581982597719	0.6855946040327519	0.0	4.363644426059458	0.0	2.144701386861174	1.5399929857741805	0.0	0.0	0.0	0.0	0.0	0.2927187665046192	0.2927187665046192	0.0	0.2927187665046192	0.0	2.040270319753697	0.0	0.0	3.0393726784314015	0.2927187665046192	0.0	1.5399929857741805	0.0	2.9080317226210073	0.0	1.8347146913392043	1.3264152358256545	0.46600389058961234	0.8884392629759875	0.0	0.0	0.0	0.0	0.6855946040327519	0.0	0.0	0.0	0.0
39A	0.0	0.0	1.224992987861808	1.4029295196190443	1.8612486678524613	4.375653521612881	0.0	0.0	0.0	0.3452646586939983	0.0	0.0	0.0	0.3452646586939983	1.5441229580770743	1.157120613387373	0.535153243642069	4.509501003594738	0.0	2.7805794764466154	1.0300144764051335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4361396066643413	0.0	0.0	1.6262488630328198	0.0	1.118742015222092	0.0	0.0	2.1592794707417213	0.0	0.535153243642069	0.0	0.0	0.0	0.0	0.7677326947108328	0.0	0.0	0.0	0.0	0.0	1.157120613387373	0.0
118A	0.0	0.0	0.31226133186180416	0.6187999201771215	0.7967119585477912	4.460214508196033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9225582301855695	0.0	0.0	4.482625559647491	0.0	2.4645812265399307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31226133186180416	0.0	0.0	0.31226133186180416	0.0	2.389442634611083	0.0	0.4920327384878198	0.0	0.0	0.0	0.0	0.0	0.31226133186180416	0.0	0.0	0.0	0.0	0.0	0.0
24A	0.0	0.0	0.8247114780499311	1.9577423350144336	1.1301343065792746	4.224708287766367	0.0	0.0	0.0	3.085448249507531	0.0	0.8929179033011675	0.32956060380603686	0.0	2.041537992410797	0.32956060380603686	0.0	4.560572389266638	0.0	1.9179128707788176	0.7437605816627072	0.0	0.0	0.0	0.0	1.1301343065792746	0.0	0.0	0.5147602277612157	0.0	0.0	2.366802395995083	0.0	0.0	2.067634703708456	0.32956060380603686	0.0	0.32956060380603686	0.0	2.0718356713429693	0.0	0.32956060380603686	0.9518521851847143	0.0	0.0	0.0	0.5147602277612157	0.0	0.0	0.0	2.5422711084061356	0.0	3.632779967679996	0.0
119A	0.0	0.0	0.3185075169362387	2.626371262626148	1.8118803666758256	4.204215392586782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.236333837270981	0.0	0.0	4.373052426467012	0.0	2.3584050267855714	0.8746424397921184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.067397267058859	0.0	0.0	2.235468585953311	0.0	0.0	0.6280194007844075	0.0	4.282127516640653	0.0	0.5002717339306519	0.0	0.8069015391711445	0.0	0.0	0.3185075169362387	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34A	0.0	0.0	0.514205263462352	3.62210299050962	0.5836835779137769	4.199337491643491	0.0	0.0	0.0	0.0	0.0	0.5836835779137769	0.1950289644335518	0.5836835779137769	1.7113866054886788	0.0	0.0	4.593068378739093	0.0	2.0874516365715325	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.149260151741658	0.0	0.0	0.0	0.0	0.0	0.3291356226294192	0.1950289644335518	2.1971485565253217	0.0	0.43145490739382075	2.0604635170915504	0.1950289644335518	0.0	0.0	0.0	0.0	0.0	0.0	0.6435645314252314	0.0	0.0	0.0
091A	0.0	0.0	0.7975158981193324	1.4024075286981479	0.7175764197283439	4.432374927427059	0.0	0.0	0.0	0.0	0.49268143305626155	0.6195265702992413	0.0	0.0	1.4024075286981479	0.8650034729387778	0.0	4.500603879741835	0.0	2.4462969231781413	1.9419426330566794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6877292840080735	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8009116564371552	0.0	0.0	0.49268143305626155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7975158981193324	0.0	1.874076978863309	0.0
098A	0.0	0.0	0.34416297242937927	1.809315610481269	0.604451098588145	4.379543022843415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.20531718188219183	1.0028677529871586	0.0	0.0	4.517610677990382	0.0	1.7710286825100519	0.0	1.0281915946443796	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.167059706002631	0.0	0.0	2.1090110288279287	0.20531718188219183	0.0	0.7660657070286716	0.0	2.522215659719953	0.0	0.7185778380883271	1.3210959588945892	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.397974217042418	0.0	2.7397352526145595	0.0
100A	0.0	0.0	0.3583029134572782	2.0706137646744174	1.2471168544370967	4.481416936562941	0.0	0.0	0.0	0.8697986112264461	0.0	0.0	0.0	0.5519213977905051	1.3815626215669576	0.0	0.0	4.348608762355219	0.0	2.0412517770132728	3.010835949757142	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7548353766160876	0.0	0.3583029134572782	1.8135586825172245	0.0	0.0	0.5519213977905051	0.3583029134572782	2.0205128591312067	0.0	0.5519213977905051	0.0	0.5519213977905051	0.0	0.0	0.3583029134572782	0.0	0.0	0.0	0.3583029134572782	0.0	1.1790133119896007	0.0
084A	0.0	0.0	0.721271892206428	1.2020012741170452	0.868949940130262	4.276214117256243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1046418811424215	0.868949940130262	0.0	4.537401796118614	0.31510229798252165	2.2423830713189674	1.42456806590069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31510229798252165	2.675025419761279	0.0	0.0	0.49578478769901474	0.0	0.0	0.49578478769901474	0.0	3.755726833638525	0.0	0.31510229798252165	0.31510229798252165	0.6230010655762218	0.0	0.0	0.9274251336217375	0.0	0.0	0.0	0.0	0.0	0.868949940130262	0.0
107A	0.0	0.0	0.3405160611595599	0.5290099302058473	1.02213555256031	4.272679673113463	0.0	0.0	0.0	0.0	0.0	0.3405160611595599	0.0	0.0	0.7605318970641132	0.5290099302058473	0.0	4.182510514288085	0.0	2.6925119069379693	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3405160611595599	0.0	0.3405160611595599	2.1164401981048746	0.0	0.0	2.3849689386769324	0.3405160611595599	0.0	0.7605318970641132	0.0	4.3968807994398915	0.0	0.5290099302058473	0.0	0.3405160611595599	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35A	0.37479863250481493	0.0	0.5729353332955106	0.5729353332955106	0.9648084754469094	4.572345033340008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.37479863250481493	1.2416284814962533	0.0	0.0	4.191716541003221	0.0	2.22575751406582	1.8906186610755598	0.7084908666467327	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2362457139075844	0.0	0.37479863250481493	1.815596995483849	0.0	0.37479863250481493	0.5729353332955106	0.0	3.800011705040107	0.0	0.7084908666467327	1.6648210745366705	0.7084908666467327	0.0	0.7084908666467327	0.0	0.0	0.0	0.0	0.37479863250481493	0.0	0.0	0.0
11A	0.0	0.0	1.2958293520073427	1.3445331708170856	1.6356279049133244	4.53603778430329	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5244274400035951	3.1813779209219124	0.0	0.0	4.330940111418133	0.0	2.590102998006098	0.6549329452805488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.149730907648333	0.0	0.0	2.1441669074809817	0.0	1.1046989529684808	0.3369838954185127	0.0	2.643018272253168	0.0	0.7551490880860621	1.0627167828636839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10A	0.0	0.0	0.952028104189774	3.106992063519921	1.5160976640526014	4.244228243221438	0.0	0.0	0.0	0.0	0.0	0.3296659312631247	0.0	0.3296659312631247	3.397701481596573	0.0	0.0	4.575457552693519	0.3296659312631247	2.2752940643962125	1.2563514068518558	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3836348788879747	0.3296659312631247	0.0	0.8930906070879062	0.0	0.0	0.0	0.0	1.887242004484244	0.0	0.5148977445984625	2.267367800059373	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.228103904706617	0.0	1.8608650924159005	0.0
