taxa	taxonomy	081A	082A	083A	084A	085A	086A	091A	093A	094A	098A	099A	100A	101A	107A	108A	109A	10A	116A	118A	119A	11A	120A	13A	15A	18A	1A	20A	21A	24A	25A	28A	29A	31A	34A	35A	37A	39A	3A	6A	7A
Caulobacteraceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Caulobacterales|f__Caulobacteraceae	46	19	56	42	5	1	72	45	12	41	8	92	24	23	35	28	40	2	22	30	38	40	26	47	43	45	17	92	105	9	37	15	25	39	11	21	27	39	20	35
Magnetococcaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales|f__Magnetococcaceae	3	1	0	0	0	0	5	0	0	2	0	2	1	1	2	0	7	4	8	3	0	1	1	4	4	3	0	1	3	1	2	2	0	2	0	0	0	11	1	0
Parvularculaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales|f__Parvularculaceae	0	3	0	2	0	0	0	0	0	3	0	0	1	1	1	1	2	1	0	0	1	1	0	1	0	2	0	2	12	0	0	0	0	1	0	2	0	0	0	0
Bartonellaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bartonellaceae	4	16	6	5	5	26	28	13	0	12	3	5	36	5	0	4	12	3	1	2	3	9	7	35	9	1	10	14	12	10	7	25	8	3	4	23	4	4	5	11
Beijerinckiaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae	0	0	2	2	2	1	0	1	1	2	6	2	2	1	31	6	1	3	0	4	1	1	0	1	2	1	0	1	4	0	0	2	0	1	0	2	0	2	1	5
Bradyrhizobiaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Bradyrhizobiaceae	76	33	9	55	138	10	53	11	16	66	16	150	39	33	96	35	48	4	10	79	89	48	31	79	82	61	65	91	134	28	102	74	118	71	49	65	70	47	23	24
Brucellaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Brucellaceae	17	5	0	6	1	3	6	0	51	2	1	7	0	4	1	13	2	0	1	5	31	3	20	15	28	8	17	15	10	5	1	2	5	3	27	24	10	9	14	1
Hyphomicrobiaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Hyphomicrobiaceae	12	48	2	16	7	1	20	12	6	30	0	35	13	9	16	59	21	3	0	22	20	36	11	27	11	21	2	38	27	5	15	9	21	23	7	17	21	16	6	13
Methylobacteriaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylobacteriaceae	41	16	23	22	9	2	20	8	4	30	1	68	18	12	55	24	46	8	11	28	19	37	26	32	53	17	9	24	50	7	22	34	20	20	8	22	19	17	29	17
Methylocystaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Methylocystaceae	1	0	0	0	0	0	1	0	1	1	0	2	0	0	0	8	1	0	0	0	1	1	0	2	8	5	0	1	2	0	4	0	4	2	10	0	6	0	0	2
Phyllobacteriaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Phyllobacteriaceae	12	2	2	7	2	2	14	2	4	14	2	8	6	7	4	18	19	3	2	37	5	11	9	24	17	12	4	25	47	6	10	2	9	10	3	9	0	8	10	3
Rhizobiaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhizobiaceae	114	27	36	85	133	18	71	70	68	135	36	276	67	90	78	139	94	18	68	110	65	105	94	112	135	150	76	58	145	40	85	80	43	89	71	92	112	135	35	110
Rhodobiaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Rhodobiaceae	2	7	4	8	1	0	4	21	17	13	0	13	4	4	0	14	7	1	0	23	4	30	9	8	10	10	0	12	17	0	6	1	5	0	4	3	4	4	1	1
Xanthobacteraceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Xanthobacteraceae	5	12	2	12	6	5	9	3	1	14	6	17	14	15	29	8	17	5	18	24	8	9	14	8	15	15	4	12	24	8	14	11	9	11	9	11	16	15	5	4
Hyphomonadaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Hyphomonadaceae	19	37	2	7	9	1	8	7	2	11	1	12	0	2	16	9	12	2	0	58	7	34	1	46	7	5	5	16	6	0	7	22	15	13	8	3	4	13	18	11
Rhodobacteraceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae	126	46	22	45	20	16	59	33	45	110	6	111	50	63	72	94	72	17	27	174	38	105	46	109	109	76	47	93	149	27	42	52	46	54	35	52	42	61	37	66
Acetobacteraceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae	38	10	20	35	10	9	22	12	2	26	3	47	34	19	58	11	34	15	19	39	11	62	29	55	101	40	10	45	59	19	24	27	32	39	11	16	29	28	10	2
Rhodospirillaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae	152	22	29	60	28	20	72	19	13	94	21	176	52	36	94	105	118	13	26	106	89	116	31	121	118	96	27	137	165	31	45	66	36	79	33	114	48	49	43	59
Anaplasmataceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae	3	10	6	2	4	7	6	13	15	34	85	14	1	42	12	11	34	0	3	3	6	31	10	5	5	8	6	8	21	6	2	3	5	2	7	14	8	12	3	82
Candidatus_Midichloriaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Candidatus_Midichloriaceae	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	4	0	1	0	0	0	0	5	0	1	0	1	0	0	2	1	6	1	3	1
Rickettsiaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae	4	0	0	14	2	2	13	0	0	9	0	4	1	3	4	2	0	0	0	0	1	1	0	3	2	7	3	8	16	2	5	6	7	6	2	2	0	0	1	4
Erythrobacteraceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae	5	2	0	0	0	3	0	1	2	1	0	1	0	1	0	2	0	0	0	4	1	0	1	33	2	1	2	2	2	0	1	25	7	19	0	3	2	0	2	2
Sphingomonadaceae	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae	78	36	14	71	29	19	39	25	82	99	8	89	30	49	80	222	57	37	11	48	55	68	93	136	82	44	80	78	69	48	22	58	30	84	40	110	82	37	116	49
Alcaligenaceae	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae	69	40	39	46	30	18	85	55	64	70	3	70	71	43	54	192	62	73	72	81	96	122	76	73	123	47	57	78	122	24	39	48	47	55	45	53	146	37	43	52
Burkholderiaceae	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae	203	68	153	124	84	42	161	99	106	192	35	413	201	90	129	652	201	23	23	178	256	223	148	125	539	156	70	248	293	112	119	154	160	174	106	190	392	124	82	118
Comamonadaceae	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae	219	56	68	124	49	25	94	44	36	151	27	202	85	57	116	262	163	25	46	132	161	164	104	110	211	137	61	134	196	34	129	168	75	149	87	150	191	125	103	87
Oxalobacteraceae	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Oxalobacteraceae	13	16	36	26	20	8	22	8	16	55	3	50	22	35	31	73	42	5	13	44	8	27	58	23	112	14	11	23	20	15	7	7	37	50	3	13	49	20	8	33
Gallionellaceae	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Gallionellales|f__Gallionellaceae	36	5	3	1	7	4	6	24	5	20	1	9	26	1	10	8	8	2	21	9	31	11	5	9	23	10	25	55	7	4	11	1	3	7	3	5	1	5	7	12
Hydrogenophilaceae	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Hydrogenophilales|f__Hydrogenophilaceae	6	14	33	6	9	14	13	30	32	17	1	82	26	4	6	70	13	0	0	6	42	23	8	4	3	4	1	18	7	24	8	13	3	0	6	5	17	3	11	2
Methylophilaceae	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Methylophilales|f__Methylophilaceae	12	4	11	9	3	2	15	14	3	15	3	54	7	1	12	0	8	2	0	3	9	7	9	31	48	36	24	5	15	12	17	9	15	15	27	27	22	12	7	13
Chromobacteriaceae	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Chromobacteriaceae	37	9	10	8	26	2	19	27	16	15	9	32	29	15	8	65	136	10	7	33	25	30	18	20	109	21	4	20	30	18	11	14	29	23	19	17	34	7	14	12
Neisseriaceae	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae	70	26	166	28	20	46	30	62	111	58	172	119	51	24	19	45	64	9	3	33	16	70	36	63	147	21	30	48	59	71	23	49	29	44	23	18	76	15	34	116
Nitrosomonadaceae	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Nitrosomonadales|f__Nitrosomonadaceae	7	2	3	1	14	1	15	0	0	9	13	6	5	1	9	33	17	5	2	8	28	17	20	11	4	13	7	15	7	9	5	10	5	6	5	5	35	1	3	15
Rhodocyclaceae	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Rhodocyclales|f__Rhodocyclaceae	49	28	10	29	110	4	48	15	5	47	11	131	35	35	28	192	41	12	14	138	117	61	53	97	134	104	41	74	101	15	99	66	43	37	80	61	107	159	50	33
Sulfuricellaceae	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Sulfuricellales|f__Sulfuricellaceae	5	2	9	0	2	2	3	17	11	2	1	13	2	2	7	0	8	0	3	2	4	3	1	3	21	0	3	6	4	2	2	1	6	7	1	1	6	1	1	21
Bacteriovoracaceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bdellovibrionales|f__Bacteriovoracaceae	0	0	2	2	0	1	0	0	0	0	1	0	3	0	1	0	0	0	0	1	1	3	0	0	2	1	0	2	8	0	1	0	1	1	0	1	1	1	2	0
Bdellovibrionaceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Bdellovibrionales|f__Bdellovibrionaceae	1	3	3	16	2	9	4	0	3	5	2	4	0	4	1	0	6	5	2	5	2	5	5	1	10	21	4	3	11	1	16	8	6	3	0	14	7	2	2	0
Desulfarculaceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfarculales|f__Desulfarculaceae	23	11	9	12	1	1	10	10	2	13	0	10	12	7	14	58	16	11	13	10	10	22	5	12	28	15	3	18	26	12	11	7	18	5	6	8	1	12	14	7
Desulfobacteraceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobacteraceae	15	8	36	26	15	9	38	5	5	39	3	61	13	38	15	36	28	9	13	152	8	38	18	20	22	13	20	17	31	9	13	26	9	27	23	17	30	40	24	47
Desulfobulbaceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfobacterales|f__Desulfobulbaceae	20	15	11	14	18	6	41	15	7	26	0	19	42	19	11	33	50	57	35	30	42	12	8	22	20	17	36	18	64	8	10	7	12	30	7	14	19	7	18	10
Desulfohalobiaceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfohalobiaceae	2	0	0	0	2	0	4	0	0	3	0	34	14	0	7	0	4	3	1	9	0	0	0	0	13	6	1	1	4	0	2	0	1	3	3	0	0	0	3	0
Desulfomicrobiaceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfomicrobiaceae	18	4	4	12	1	10	42	2	0	34	2	67	10	8	22	1	48	1	4	6	8	11	0	15	14	22	8	23	70	5	4	4	14	21	6	8	1	8	7	1
Desulfovibrionaceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae	140	68	132	101	189	54	158	56	28	281	32	335	212	289	201	275	163	345	130	366	333	361	69	309	738	349	699	244	383	150	116	227	183	151	253	121	140	139	263	110
Desulfurellaceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfurellales|f__Desulfurellaceae	0	0	0	0	0	3	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	1	1
Geobacteraceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Geobacteraceae	163	43	35	55	36	22	96	28	15	86	30	158	55	24	92	74	70	43	19	63	41	79	30	78	108	78	52	55	116	33	58	32	53	82	29	61	24	109	47	23
Pelobacteraceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfuromonadales|f__Pelobacteraceae	36	26	18	18	15	8	35	2	3	24	9	33	21	11	19	35	38	4	2	24	17	52	7	31	32	43	15	13	30	3	18	16	9	19	7	32	17	23	24	30
Anaeromyxobacteraceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Anaeromyxobacteraceae	36	11	2	19	8	12	39	5	3	19	2	92	24	20	62	39	15	6	12	39	7	16	13	19	36	29	3	14	39	5	22	12	9	13	10	18	14	16	9	20
Cystobacteraceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Cystobacteraceae	15	1	0	4	2	0	2	0	0	1	0	2	0	2	6	0	3	1	4	1	1	5	3	2	6	74	1	3	3	2	2	4	2	13	8	81	10	6	12	0
Kofleriaceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Kofleriaceae	10	3	18	8	1	2	12	1	2	37	1	23	8	5	10	1	28	4	4	3	8	4	3	13	38	29	8	11	16	4	14	6	8	27	6	10	6	17	7	3
Myxococcaceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Myxococcaceae	73	10	4	15	3	6	40	6	2	35	5	156	31	15	38	25	31	10	19	13	15	43	10	27	16	33	9	25	46	14	14	40	23	37	10	23	10	25	22	35
Polyangiaceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Myxococcales|f__Polyangiaceae	68	6	10	11	6	14	31	19	10	21	4	96	30	5	36	62	21	6	7	25	45	36	25	28	96	26	9	28	42	16	29	19	24	22	14	20	55	19	10	19
Syntrophaceae	d__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Syntrophobacterales|f__Syntrophaceae	16	26	5	2	4	0	5	6	8	5	19	8	3	3	1	27	5	5	1	10	6	22	12	9	1	15	2	25	22	6	6	4	7	10	1	10	7	7	9	4
