taxa	taxonomy	081A	082A	083A	084A	085A	086A	091A	093A	094A	098A	099A	100A	101A	107A	108A	109A	10A	116A	118A	119A	11A	120A	13A	15A	18A	1A	20A	21A	24A	25A	28A	29A	31A	34A	35A	37A	39A	3A	6A	7A
Ruegeria	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Ruegeria	0	1	6	1	5	3	9	0	1	8	0	8	1	10	15	6	6	2	7	24	4	2	0	6	4	2	1	2	12	3	4	2	6	17	11	1	4	5	5	11
Acetobacter	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acetobacter	3	1	12	9	4	1	7	2	0	1	0	2	11	3	2	0	2	0	0	2	0	15	0	29	10	4	0	12	2	11	15	9	4	9	1	4	3	4	0	1
Acidiphilium	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Acidiphilium	8	3	1	0	0	0	9	2	0	6	0	28	1	0	49	2	5	5	2	2	2	3	3	6	9	12	1	4	12	3	1	3	1	2	4	0	12	9	0	1
Gluconacetobacter	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconacetobacter	16	4	0	1	5	5	2	3	2	6	0	2	8	3	1	4	5	1	11	1	5	23	14	4	14	8	2	8	23	5	0	1	1	0	0	4	9	3	2	0
Gluconobacter	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Gluconobacter	9	2	1	4	1	2	3	2	0	5	3	5	5	7	6	1	1	7	5	28	0	5	1	2	48	5	5	7	1	0	4	0	8	11	3	4	1	3	6	0
Granulibacter	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Granulibacter	2	0	6	4	0	1	0	3	0	5	0	7	7	6	0	3	20	0	0	6	3	9	11	5	20	2	2	6	9	0	1	5	12	8	3	2	4	5	2	0
Komagataeibacter	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Acetobacteraceae|g__Komagataeibacter	0	0	0	0	0	0	1	0	0	3	0	3	2	0	0	1	1	0	0	0	0	0	0	9	0	1	0	5	12	0	3	1	0	4	0	1	0	1	0	0
Azospirillum	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Azospirillum	22	9	12	27	9	4	33	5	3	47	11	78	21	21	36	44	53	4	6	67	17	58	13	40	37	26	6	58	64	15	13	19	13	30	13	17	5	17	22	20
Candidatus_Endolissoclinum	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Candidatus_Endolissoclinum	0	0	1	1	1	7	0	2	0	1	0	0	0	1	1	0	2	0	1	0	0	0	0	2	2	0	0	0	3	1	1	0	0	2	1	1	0	1	2	0
Magnetospirillum	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Magnetospirillum	74	6	4	13	11	6	26	9	7	22	7	19	19	2	26	16	17	7	14	12	29	27	8	36	35	19	13	56	43	10	12	4	8	22	7	28	25	4	9	16
Rhodospirillum	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Rhodospirillum	26	7	10	12	5	3	10	3	1	16	2	19	7	5	24	24	37	1	2	4	15	27	7	41	37	17	4	12	46	3	9	12	11	23	8	10	8	14	8	21
Tistrella	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodospirillales|f__Rhodospirillaceae|g__Tistrella	17	0	2	2	2	0	3	0	2	6	1	59	4	5	7	21	5	1	3	23	28	3	2	2	7	5	4	6	9	2	9	26	4	1	3	4	10	8	1	2
Anaplasma	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Anaplasma	0	0	1	0	0	0	0	0	0	29	0	0	0	40	1	0	0	0	0	0	0	20	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	75
Ehrlichia	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Ehrlichia	1	2	0	0	1	6	1	0	1	2	20	1	0	0	9	2	31	0	0	0	0	0	3	0	1	2	0	1	8	3	2	1	2	0	1	3	0	2	0	7
Neorickettsia	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Neorickettsia	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	1	11	0	0	0	0
Wolbachia	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Anaplasmataceae|g__Wolbachia	2	8	5	2	3	1	5	13	14	1	65	12	1	2	2	9	2	0	3	3	6	11	7	5	4	3	6	6	13	3	0	1	1	2	4	0	8	10	3	0
Candidatus_Midichloria	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Candidatus_Midichloriaceae|g__Candidatus_Midichloria	1	0	0	0	0	0	0	0	1	1	1	0	1	0	0	1	0	1	1	1	4	0	1	0	0	0	0	5	0	1	0	1	0	0	2	1	6	1	3	1
Orientia	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Orientia	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rickettsia	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rickettsiales|f__Rickettsiaceae|g__Rickettsia	4	0	0	13	2	2	13	0	0	9	0	4	0	3	4	2	0	0	0	0	1	1	0	3	2	7	3	8	16	2	5	6	7	6	2	2	0	0	1	4
Erythrobacter	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Erythrobacteraceae|g__Erythrobacter	5	2	0	0	0	3	0	1	2	1	0	1	0	1	0	2	0	0	0	4	1	0	1	33	2	1	2	2	2	0	1	25	7	19	0	3	2	0	2	2
Novosphingobium	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Novosphingobium	4	4	5	9	0	3	11	5	7	14	1	26	5	7	15	10	20	6	0	7	3	8	2	57	12	8	8	31	23	2	8	9	8	6	4	9	4	6	68	1
Sphingobium	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingobium	29	3	2	13	1	5	3	6	0	24	3	4	5	5	22	9	11	9	5	3	41	22	4	14	9	9	7	11	22	30	4	17	5	6	6	18	9	13	27	8
Sphingomonas	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingomonas	4	0	0	0	2	1	1	1	1	5	0	1	0	4	4	0	0	1	0	3	1	1	0	5	21	4	3	3	6	0	2	1	3	0	3	2	0	1	0	0
Sphingopyxis	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Sphingopyxis	18	0	0	11	0	1	8	0	0	8	4	26	9	2	4	3	5	0	0	14	0	2	0	19	4	1	0	5	3	0	4	1	1	2	4	2	3	2	6	1
Zymomonas	d__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae|g__Zymomonas	23	29	7	37	23	8	15	1	70	48	0	32	10	30	34	200	21	21	6	21	10	33	86	40	36	22	62	26	15	16	4	30	13	70	23	79	66	15	13	39
Candidatus_Accumulibacter	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|g__Candidatus_Accumulibacter	1	1	0	0	0	0	4	0	0	4	0	2	0	0	5	6	2	0	0	1	1	7	0	3	14	7	3	0	18	0	6	3	3	1	0	3	5	1	1	3
Candidatus_Profftella	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|g__Candidatus_Profftella	2	0	0	1	0	0	1	2	0	0	0	1	0	0	1	0	3	1	0	0	0	1	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0
Candidatus_Tremblaya	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|g__Candidatus_Tremblaya	9	11	25	1	4	5	0	15	15	16	0	47	9	2	1	28	6	0	0	3	0	7	0	17	11	3	1	17	3	23	3	0	0	0	0	1	0	2	7	0
Kinetoplastibacterium	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|g__Kinetoplastibacterium	12	9	25	4	9	9	14	16	18	13	1	57	34	13	5	28	9	2	0	3	30	30	12	12	63	2	0	18	5	27	9	8	22	15	2	3	63	6	17	11
Achromobacter	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Achromobacter	7	3	11	3	11	2	18	4	5	18	1	22	9	10	19	49	16	4	4	28	17	17	4	10	33	13	13	16	26	10	10	18	18	4	13	23	22	10	5	25
Advenella	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Advenella	12	8	2	3	4	3	7	3	1	3	0	0	3	3	6	1	0	1	1	2	7	9	14	2	4	1	1	0	7	1	5	2	1	8	1	0	23	0	2	9
Bordetella	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Bordetella	5	7	14	10	6	7	20	18	20	29	1	39	27	9	12	85	25	0	2	12	36	71	14	23	35	19	9	21	48	6	18	14	14	19	10	16	39	14	5	13
Pusillimonas	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Pusillimonas	32	3	12	28	7	0	39	27	38	19	0	8	31	21	15	24	10	68	53	25	7	15	28	23	48	4	28	33	38	6	6	6	8	23	13	5	19	2	22	2
Taylorella	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Alcaligenaceae|g__Taylorella	13	19	0	2	0	0	1	0	0	1	1	1	1	0	2	31	9	0	12	14	24	10	12	15	3	8	3	8	1	1	0	8	6	1	7	9	29	10	9	2
Burkholderia	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Burkholderia	91	34	77	62	35	14	84	55	61	102	22	225	101	49	71	470	124	10	8	134	192	124	76	71	288	103	32	104	174	41	40	115	93	87	61	96	226	83	47	50
Cupriavidus	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus	15	10	9	9	16	12	24	2	5	11	8	13	34	7	15	47	13	3	9	7	28	19	27	8	16	14	9	16	36	5	15	9	8	34	11	24	25	11	9	34
Pandoraea	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Pandoraea	7	1	13	4	2	3	2	6	8	8	0	15	6	1	3	18	5	1	0	0	0	8	3	3	13	4	5	15	1	2	5	1	6	1	3	4	14	3	1	0
Polynucleobacter	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Polynucleobacter	3	2	0	0	0	1	0	0	0	0	0	0	0	2	5	1	4	0	0	0	0	3	0	1	5	0	0	1	0	3	4	0	0	0	1	1	5	0	0	1
Ralstonia	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Ralstonia	79	7	13	40	24	9	40	6	6	38	2	107	35	17	28	52	38	7	5	14	24	27	16	23	152	23	23	86	43	11	36	21	38	43	21	42	42	12	12	25
Acidovorax	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Acidovorax	87	10	7	23	11	6	23	9	3	21	8	66	13	25	26	72	42	3	17	57	67	45	18	23	55	28	13	26	65	6	25	41	21	30	14	28	13	31	22	8
Alicycliphilus	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Alicycliphilus	7	2	3	11	4	8	10	0	0	10	1	17	6	1	2	11	6	6	0	0	11	5	16	6	17	6	1	2	11	0	13	9	5	14	5	15	1	9	12	7
Candidatus_Symbiobacter	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Candidatus_Symbiobacter	5	0	0	1	2	0	3	0	0	0	0	0	0	0	3	14	0	2	0	1	0	3	0	0	0	0	1	1	4	0	0	2	1	0	0	4	0	3	0	0
Comamonas	d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Comamonadaceae|g__Comamonas	9	8	17	27	3	1	2	7	6	17	2	18	8	4	6	13	23	0	16	3	11	5	3	21	17	13	7	11	32	14	8	24	3	8	10	5	23	5	4	10
