sample	Puniceicoccaceae	Micrococcaceae	Moraxellaceae	Paenibacillaceae 1	Actinomycetaceae	Methylocystaceae	Acidaminococcaceae	Cytophagaceae	SAR11	Sphingomonadaceae	Dermabacteraceae	Methanobacteriaceae	Enterobacteriaceae	Campylobacteraceae	Aeromonadaceae	Ruminococcaceae	Bacillaceae 1	Vibrionaceae	Rhodospirillaceae	Pasteurellaceae	Nannocystaceae	Rubritaleaceae	Cyclobacteriaceae	Rhizobiales_incertae_sedis	Pseudonocardiaceae	Bacteriovoracaceae	Bacteroidales_incertae_sedis	Porphyromonadaceae	Rhizobiaceae	Cryomorphaceae	Cohaesibacteraceae	Coxiellaceae	Corynebacteriaceae	Kordiimonadaceae	Coriobacteriaceae	Desulfuromonadaceae	Francisellaceae	Colwelliaceae	Verrucomicrobiaceae	Hahellaceae	Flavobacteriaceae	Bifidobacteriaceae	Victivallaceae	Rikenellaceae	Flammeovirgaceae	Methylobacteriaceae	Burkholderiales_incertae_sedis	Streptococcaceae	Leptotrichiaceae	Parachlamydiaceae	Oxalobacteraceae	Comamonadaceae	Deferribacteraceae	Fusobacteriaceae	Rhodothermaceae	Shewanellaceae	Rhodocyclaceae	Desulfovibrionaceae	Chitinophagaceae	Intrasporangiaceae	Nitrosopumilaceae	Family II	Kiloniellaceae	Planctomycetaceae	Neisseriaceae	Erythrobacteraceae	Peptococcaceae 1	Aerococcaceae	Thiotrichales_incertae_sedis	Acanthopleuribacteraceae	Leuconostocaceae	Clostridiaceae 1	Clostridiaceae 2	Promicromonosporaceae	Prevotellaceae	Bacteroidaceae	Dietziaceae	Erysipelotrichaceae	Helicobacteraceae	Burkholderiaceae	Desulfobacteraceae	Microbacteriaceae	Brevibacteriaceae	Moritellaceae	Pseudomonadaceae	Piscirickettsiaceae	Cardiobacteriaceae	Bdellovibrionaceae	Mycoplasmataceae	Carnobacteriaceae	Halomonadaceae	Planococcaceae	Clostridiales_Incertae Sedis XIII	Rhodobacteraceae	Enterococcaceae	Acidimicrobiaceae	Staphylococcaceae	Saprospiraceae	Alteromonadaceae	Veillonellaceae	Chloroplast	Phycisphaeraceae	Aurantimonadaceae	Succinivibrionaceae	Sphingobacteriaceae	Hyphomicrobiaceae	Lactobacillaceae	Lachnospiraceae	Bradyrhizobiaceae	Clostridiales_Incertae Sedis XI	Alcaligenaceae	Thermaceae	Alcanivoracaceae	Synergistaceae	Caulobacteraceae	Incertae Sedis XI	Pseudoalteromonadaceae	Desulfobulbaceae	Brucellaceae	Sutterellaceae	Hyphomonadaceae	Eubacteriaceae	Peptostreptococcaceae	Oceanospirillaceae	Xanthomonadaceae	Bacillales_Incertae Sedis XI
B025A_2	0	0	0	0	3	0	3698	0	0	0	0	0	449	0	0	6458	0	0	0	18	0	0	0	0	1	0	0	1558	0	0	0	0	2	0	3	0	0	0	0	0	0	52	0	371	0	0	0	7	0	0	0	0	0	0	0	2	0	286	1	0	0	0	0	0	0	0	1	0	0	0	2	173	0	0	72	41424	0	457	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	99	133	0	0	1	0	0	1	18493	0	1	0	0	0	0	0	0	0	0	0	1681	0	1	30	0	0	0
B025A_1	0	0	0	0	3	0	3779	0	0	0	0	0	492	0	0	6566	0	0	0	18	0	0	0	0	1	0	0	1919	0	0	0	0	2	0	3	0	0	0	0	0	0	54	0	379	0	0	0	7	0	0	0	0	0	0	0	2	0	296	0	0	0	0	0	0	0	0	1	0	0	0	2	176	0	0	56	42211	0	523	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	0	0	0	112	140	0	0	0	0	0	5	19512	0	1	0	0	0	0	0	0	0	0	0	1668	0	1	30	0	0	0
119A_1	0	0	0	0	1	0	1373	0	0	0	0	0	30362	0	0	31775	0	0	0	1	0	0	0	0	0	0	0	1203	0	0	0	0	0	0	70	0	0	0	0	0	0	660	0	3321	0	0	0	17	0	0	0	0	0	15	0	1	0	315	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	10	17578	0	386	1	0	0	0	0	0	5	0	1	0	0	0	4	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	6980	0	1	0	0	0	3	0	0	0	0	0	89	0	10	40	0	0	0
082A_2	0	1	0	0	1	0	6	0	0	0	0	0	111	0	0	26557	0	0	0	15	0	0	0	0	0	0	0	825	0	0	0	0	0	0	37	0	0	0	66	0	4	12	0	1577	0	0	0	55	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	133	0	0	2781	29897	0	1050	0	0	0	2	0	0	0	0	0	0	0	3	4	0	0	0	0	0	0	0	0	2594	2	0	0	0	0	0	1	18716	0	1	0	0	0	0	0	0	0	0	0	2656	0	0	36	0	0	0
B101A_1	0	0	0	0	3	0	23	0	0	0	0	0	1140	0	0	13705	0	0	0	281	0	0	0	0	0	0	0	6426	0	0	0	0	0	0	24	0	0	0	18	0	0	689	0	377	0	0	0	34	1	0	0	0	0	41	0	2	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	36	0	0	288	36045	0	372	0	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	4735	5	0	0	2	0	0	1	28370	0	1	0	0	0	0	0	0	0	0	0	10436	0	6	120	0	0	1
119A_2	0	0	0	0	1	0	1330	0	0	0	0	0	30662	0	0	30687	0	0	0	1	0	0	0	0	0	0	0	1167	0	0	0	0	0	0	85	0	0	0	0	0	1	619	0	3243	0	0	0	19	0	0	0	0	0	15	0	1	0	298	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	6	17334	0	350	1	0	0	0	0	0	4	0	1	0	0	0	4	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	6521	0	1	0	0	0	3	0	0	0	0	0	96	0	12	33	0	0	0
082A_1	0	2	0	0	1	0	4	0	0	0	0	0	117	0	0	27340	0	0	0	16	0	0	0	0	0	0	0	923	0	0	0	0	0	0	37	0	0	0	64	0	2	12	0	1678	0	0	0	44	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	10	0	0	0	0	152	0	0	2817	31364	0	1217	0	0	0	2	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	2815	2	0	0	0	0	0	1	20109	0	1	0	0	0	0	0	0	0	0	1	2742	0	0	43	0	0	0
B101A_2	0	0	0	0	3	0	18	0	0	0	0	0	1124	0	0	13519	0	0	0	278	0	0	0	0	0	0	0	5821	0	0	0	0	0	0	25	0	0	0	14	0	0	669	0	353	0	0	0	33	1	0	0	1	0	40	0	2	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	36	0	0	220	35537	0	322	0	0	0	0	0	0	0	0	0	0	0	3	10	0	0	0	0	0	0	0	0	4521	5	0	0	2	0	0	0	25175	0	1	0	0	0	0	0	0	0	0	0	10497	0	6	109	0	0	1
B100A_1	0	0	1	0	2	0	3452	0	0	1	0	0	1466	0	0	7088	0	3	3	2	2	0	0	0	0	0	0	254	0	0	0	0	0	1	7	0	0	0	28	0	4	30	0	1872	3	1	0	21	0	0	0	0	0	33	0	2	0	187	0	0	8	0	0	2	0	2	0	0	0	1	0	0	0	0	36306	11914	0	151	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	4	1	0	0	3	0	6865	11	0	0	0	0	0	11	10988	0	0	0	0	0	0	0	0	0	0	0	3289	2	0	33	0	0	2
21A_1	0	1	0	0	3	0	315	0	0	0	0	51	317	0	0	35160	0	0	0	152	0	0	0	0	0	0	0	3639	0	0	0	0	0	0	258	0	0	0	1	0	1	257	12	2916	0	0	0	41	0	0	52	0	0	3	0	1	0	325	0	0	0	0	0	0	0	0	0	0	0	0	3	452	0	0	30342	35524	0	469	0	0	0	0	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	0	4328	0	0	0	0	0	0	0	16649	0	0	0	0	0	16	0	0	0	0	0	2995	0	1	94	0	0	0
B100A_2	0	0	1	0	2	0	3395	0	0	1	0	0	1418	0	0	6934	0	3	3	1	1	0	0	0	0	0	0	161	0	0	0	0	0	1	7	0	0	0	29	0	4	31	0	1814	3	1	0	23	0	0	0	0	0	35	0	2	0	182	0	0	8	0	0	2	0	2	0	0	0	1	0	1	0	0	35432	11414	0	131	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	4	1	0	0	3	0	6635	11	0	0	0	0	0	12	10335	0	0	0	0	0	0	0	0	0	0	0	3338	2	0	32	0	0	2
21A_2	0	1	0	0	3	0	299	0	0	0	0	54	306	0	0	33843	0	0	0	153	0	0	0	0	0	0	0	3481	0	0	0	0	0	0	242	0	0	0	1	0	0	247	12	2788	0	0	0	46	0	0	48	0	0	3	0	2	0	310	0	0	0	0	0	0	0	0	0	0	0	0	3	380	0	0	28259	33593	0	427	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	4083	0	0	0	0	0	0	0	15338	0	0	0	0	0	15	0	0	0	0	0	3013	0	1	97	0	0	0
083A_2	0	0	0	0	0	0	1073	0	0	0	0	0	128	0	0	13584	0	0	0	302	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	1	476	0	323	0	0	0	62	0	0	0	0	0	21	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	13	34329	0	191	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	10186	0	0	0	0	0	2	0	0	0	0	0	3474	0	0	79	0	0	1
7A_2	0	2	0	0	35	0	649	0	0	0	0	0	229	1	0	58964	0	0	0	150	0	0	0	0	0	0	0	375	0	0	0	0	0	0	25	0	0	0	0	0	0	34	0	105	0	0	0	4593	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	16	0	0	1	0	0	0	835	0	0	1689	31443	0	1146	0	0	0	0	0	0	0	0	0	0	0	4	3	0	4	0	0	0	0	0	0	153	0	0	0	0	0	0	3	39217	0	2	0	0	0	1	0	0	0	0	0	0	0	0	101	0	0	8
120A_1	0	1	0	0	3	0	2190	0	0	0	0	0	459	0	18	21414	0	0	0	116	0	0	0	0	0	0	0	4321	0	0	0	0	0	0	58	0	0	0	5	0	0	54	0	2694	0	0	0	16	0	0	43	0	0	1427	0	1	0	262	0	0	0	0	0	0	1	0	0	0	0	0	5	52	0	0	164	38529	0	242	0	0	0	0	0	0	0	0	0	0	0	1	4	0	2	0	0	0	0	0	0	709	0	0	0	0	0	0	1	15187	0	9	0	0	0	1	0	0	0	0	0	2240	0	2	10	0	0	1
7A_1	0	2	0	0	40	0	676	0	0	0	0	0	232	1	0	59696	0	0	0	155	0	0	0	0	0	0	1	400	0	0	0	0	0	0	25	0	0	0	0	0	0	38	0	108	0	0	0	4142	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	18	0	0	1	0	0	0	888	0	0	1699	32422	0	1278	0	0	0	0	0	0	0	0	0	0	0	3	3	0	5	0	0	0	0	0	0	159	0	0	0	0	0	0	2	41860	0	2	0	0	0	1	0	0	0	0	0	1	0	1	114	0	0	9
083A_1	0	0	0	0	0	0	1121	0	0	0	0	0	137	0	0	13888	0	0	0	303	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	3	493	0	344	0	0	0	54	0	0	0	0	0	21	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	13	35729	0	219	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	10759	0	0	0	0	0	2	0	0	0	0	0	3519	0	0	95	0	0	1
