sample	Fusobacteria	Acidobacteria	Tenericutes	Chlamydiae	Firmicutes	Deferribacteres	Marinimicrobia	Proteobacteria	Planctomycetes	Thaumarchaeota	Crenarchaeota	Verrucomicrobia	Deinococcus-Thermus	Cyanobacteria/Chloroplast	Actinobacteria	Bacteroidetes	Euryarchaeota	Candidatus Saccharibacteria	Lentisphaerae	Synergistetes	SR1
B034A_2	1	3	0	0	65296	0	0	502	0	0	0	102	0	0	625	47071	0	3	0	1	0
B109A_1	12351	0	0	0	61499	0	0	4332	6	0	0	7	0	38	638	29133	13	0	0	0	0
101A_1	49	0	0	0	32416	0	0	3558	0	0	0	0	0	106	771	40667	0	0	0	0	0
101A_2	48	8	0	0	32184	0	0	3581	0	0	0	0	0	107	771	40429	0	0	0	0	0
B024A_1	29	0	0	0	64827	0	0	1370	0	0	0	418	0	2	1044	46919	0	0	3	0	0
B039A_1	26	0	0	0	33904	0	0	2777	0	0	0	12	0	0	16	54625	4	0	0	0	0
B024A_2	27	2	0	0	64412	0	0	1351	0	0	0	418	0	2	1024	46370	0	0	3	0	0
B081A_2	4	5	0	0	68910	0	0	2064	0	0	1	0	0	5	773	31679	0	0	0	4	0
B081A_1	5	0	0	0	69434	0	0	2108	0	0	0	0	0	5	795	31993	0	0	0	4	0
B006A_2	0	1	0	0	67683	0	0	5483	0	0	0	0	0	0	56	34988	0	2	0	0	0
B020A_1	9	2	0	0	37977	0	0	906	0	0	0	0	0	1	68	71342	0	0	0	0	0
B001A_1	41	0	0	0	59510	0	0	4067	0	0	0	13	0	15	140	38817	0	0	0	1	0
116A_1	1052	0	0	0	57386	0	0	4070	0	0	0	0	0	2	407	51418	0	0	0	10	0
B001A_2	37	1	0	0	59199	0	0	4011	0	0	0	13	0	12	132	38365	0	0	0	1	0
116A_2	1001	15	0	0	55612	0	0	3827	0	0	0	1	0	2	391	49832	0	0	0	9	0
B007A_2	35	5	0	0	71934	0	0	1404	0	0	0	0	0	4	75	41471	0	4	0	0	0
B007A_1	36	0	0	0	72327	0	0	1421	0	0	0	0	0	4	83	41906	0	4	0	0	0
B020A_2	10	9	0	0	36912	0	0	811	0	0	0	0	0	1	65	69976	0	0	0	0	0
B031A_1	1	0	0	0	24947	0	0	723	0	0	0	16	0	1	18	47523	4	0	0	5	0
B086A_1	7	0	0	0	90990	0	0	40354	0	0	0	7	0	16	754	39292	0	0	0	0	0
39A_2	11	6	0	0	40397	0	0	3246	0	0	1	13	0	0	117	29085	0	0	0	7	0
24A_1	10	0	0	0	49128	0	0	694	0	0	0	5219	0	6	135	23590	0	0	0	3	0
118A_2	1	8	0	0	43440	0	0	443	0	0	0	0	0	0	13	34958	0	1	0	0	0
39A_1	12	0	0	0	40741	0	0	3337	0	0	0	15	0	0	120	29569	0	0	0	7	0
24A_2	9	3	0	0	48065	0	0	689	0	0	0	5195	0	6	128	23341	0	0	0	3	0
B031A_2	1	6	0	0	24671	0	0	682	0	0	0	16	0	1	18	47121	4	0	0	5	0
B086A_2	12	5	0	0	88943	0	0	38290	0	0	0	7	0	15	697	38411	0	0	0	0	0
118A_1	1	0	0	0	43614	0	0	464	0	0	0	0	0	0	12	35203	0	1	0	0	0
109A_2	1141	4	0	0	29587	0	0	3459	0	0	0	10	0	1	260	33086	0	0	0	0	0
109A_1	1146	0	0	0	29615	0	0	3488	0	0	0	12	0	1	263	33440	0	0	0	0	0
108A_1	73	0	0	0	21394	0	0	19714	0	0	0	1	0	0	34	37998	0	0	0	18	0
108A_2	62	4	0	0	21248	0	0	19555	0	0	1	1	0	0	31	38290	0	0	0	18	0
34A_1	0	0	0	0	121033	0	0	1451	0	0	0	0	0	6	11818	48727	0	0	0	7	0
34A_2	0	9	0	0	119720	0	0	1412	0	0	0	0	0	5	11340	48379	0	1	0	6	0
B107A_2	7	9	0	0	37977	0	0	48490	0	0	2	0	0	0	260	60597	0	0	0	8	0
B107A_1	1	0	0	0	39490	0	0	51234	0	0	0	0	0	0	272	66063	0	0	0	8	0
18A_1	369	0	0	0	45921	0	0	3553	2	0	0	195	1	2	138	48416	0	0	0	2	0
18A_2	370	7	0	0	45587	0	0	3497	2	0	0	197	1	4	134	47759	0	0	0	2	0
B037A_1	9	0	0	0	23567	0	0	8974	0	0	0	0	0	0	76	46260	36	0	4	5	0
B118A_2	4	5	0	1	54280	0	0	1251	1	0	0	2	0	2	52	54111	0	0	0	0	0
B118A_1	4	0	0	1	54482	0	0	1249	1	0	0	2	0	2	55	54503	0	0	0	0	0
B108A_2	2	2	0	0	28902	0	0	36953	0	0	0	0	0	1	276	39990	0	1	0	41	0
B108A_1	0	1	0	0	29202	0	0	37442	0	0	0	0	0	1	280	40313	0	1	0	43	0
B037A_2	9	6	0	0	23313	0	0	8826	0	0	0	0	0	0	72	45127	36	0	4	4	0
107A_1	2	0	0	0	20564	0	0	28055	0	0	0	0	0	1	15	22854	0	0	0	0	0
B021A_2	5	2	0	0	43052	0	0	3158	0	0	1	0	0	0	287	43446	13	0	0	1	0
31A_2	0	1	0	0	25211	0	0	779	0	0	1	2	0	0	22	40885	10	0	0	8	0
13A_2	1083	8	0	0	32211	0	0	1037	0	0	0	0	0	0	148	35439	0	0	0	0	0
B018A_2	347	5	0	0	47656	0	0	2037	0	0	1	5775	0	0	216	62019	40	0	1	49	0
B021A_1	5	0	0	0	43444	0	0	3184	0	0	0	0	0	0	299	43852	13	0	0	0	0
B018A_1	348	0	0	0	48146	0	0	2086	0	0	0	5803	0	0	217	62646	40	0	1	51	0
107A_2	1	7	0	0	20446	0	0	27878	0	0	0	0	0	1	16	22582	0	0	0	0	0
31A_1	0	0	0	0	25435	0	0	784	0	0	0	2	0	0	25	40968	10	0	0	8	0
13A_1	1092	0	0	0	32396	0	0	1048	0	0	0	0	0	0	152	35751	0	0	0	0	0
